url,Extract Method,Move Field,Inline Method,Move Method,Pull Up Method,Pull Up Field,Extract Superclass,Extract Interface,Push Down Method,Push Down Field,total refactoring types
https://github.com/facebook/facebook-android-sdk/commit/8ec5cc5d1790157e5e1ea185cd28a8c83a2a5ba3,0,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/33256bba50288fd4c534512cd4bc0160e0355266,0,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/ef23201711ee4c3750be121b3781cff2b73a5b60,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/e91f0903e72de857b73d6ee02ae3a47687fd633f,0,0,1,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/d076dddb2a470c04b46b0b73f48c91efca58fe03,1,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/0054bae3ea315429fc87fcc8499a6515c8e212a6,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/77fc00be0eace74f195646a32040a7bdeda135db,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/3fec49ef84a6a5e1156c3d0421a779aa39c2a102,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/e9923303f98b6bf6c8aad0f641583231fc6fa470,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/cdbac3a90d664158a9998dc0d419fc55caecafec,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/bcffdb107eb564258852e184e0812010d9bd0b9b,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/31944cd8e15b8af84a8b5d1a5aec231eec79c04f,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/58d9d18ab57dff244f262c7d0ae084aab6f97199,0,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/3c551c5392100d207ec5420a811006b03a718586,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/691fc593afd836bd8b1a118695d5fc5b1d0c3480,0,0,0,0,0,0,0,0,0,0,3
https://github.com/facebook/facebook-android-sdk/commit/cf3ed62816f483eb2a7eead4255f422143560d68,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/253b36a29934406515ee39510f96df1794944d15,0,0,0,0,0,0,0,0,0,0,6
